transpose           best loop order
1234                1234
1243                1234
1324                1234
1342                1342
1423                1234
1432                1342
2134                1234
2143                1234
2314                2314
2341                2341
2413                1234
2431                2341
3124                1234
3142                1234
3214                2134
3241                2341
3412                1324
3421                3241
4123                1234
4132                1234
4213                1234
4231                2341
4312                1324
4321                3241
